dns_server,url,resolution_time_ms
8.8.8.8,facebook.com,10.59
8.8.8.8,youtube.com,11.56
8.8.8.8,amazon.com,10.11
8.8.8.8,wikipedia.org,10.26
1.1.1.1,google.com,10.14
1.1.1.1,facebook.com,9.93
1.1.1.1,youtube.com,9.79
1.1.1.1,amazon.com,10.49
1.1.1.1,wikipedia.org,9.69
9.9.9.9,google.com,9.58
9.9.9.9,facebook.com,9.87
9.9.9.9,youtube.com,9.37
9.9.9.9,amazon.com,9.86
9.9.9.9,wikipedia.org,9.38
208.67.222.222,google.com,17.47
208.67.222.222,facebook.com,45.39
208.67.222.222,youtube.com,10.26
208.67.222.222,amazon.com,9.46
208.67.222.222,wikipedia.org,97.33
192.168.178.1,google.com,1.97
192.168.178.1,facebook.com,1.98
192.168.178.1,youtube.com,1.88
192.168.178.1,amazon.com,2.03
192.168.178.1,wikipedia.org,1.81
8.8.8.8,google.com,10.11
8.8.8.8,facebook.com,10.13
8.8.8.8,youtube.com,9.94
8.8.8.8,amazon.com,9.34
8.8.8.8,wikipedia.org,9.97
1.1.1.1,google.com,10.3
1.1.1.1,facebook.com,10.51
1.1.1.1,youtube.com,10.26
1.1.1.1,amazon.com,9.92
1.1.1.1,wikipedia.org,10.23
9.9.9.9,google.com,9.91
9.9.9.9,facebook.com,13.12
9.9.9.9,youtube.com,135.2
9.9.9.9,amazon.com,9.98
9.9.9.9,wikipedia.org,10.36
208.67.222.222,google.com,17.88
208.67.222.222,facebook.com,44.95
208.67.222.222,youtube.com,9.6
208.67.222.222,amazon.com,10.02
208.67.222.222,wikipedia.org,9.7
192.168.178.1,google.com,1.92
192.168.178.1,facebook.com,1.91
192.168.178.1,youtube.com,2.03
192.168.178.1,amazon.com,1.83
192.168.178.1,wikipedia.org,1.82
8.8.8.8,google.com,10.15
8.8.8.8,facebook.com,10.49
8.8.8.8,youtube.com,18.48
8.8.8.8,amazon.com,10.01
8.8.8.8,wikipedia.org,10.4
1.1.1.1,google.com,10.02
1.1.1.1,facebook.com,9.83
1.1.1.1,youtube.com,10.16
1.1.1.1,amazon.com,11.65
1.1.1.1,wikipedia.org,10.46
9.9.9.9,google.com,9.83
9.9.9.9,facebook.com,10.06
9.9.9.9,youtube.com,10.27
9.9.9.9,amazon.com,9.85
9.9.9.9,wikipedia.org,9.21
208.67.222.222,google.com,11.48
208.67.222.222,facebook.com,13.69
208.67.222.222,youtube.com,10.08
208.67.222.222,amazon.com,10.64
208.67.222.222,wikipedia.org,10.21
192.168.178.1,google.com,1.94
192.168.178.1,facebook.com,1.82
